student_idx,success,p_original,p_counterfactual,n_features_changed,cost_sd,recourse
0,False,0.7624,0.7599,1,0.25,ANXMAT -0.25 SD
1,False,0.8624,0.8407,1,0.5,BELONG +0.50 SD
2,False,0.8473,0.6487,3,3.25,ANXMAT -2.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
3,False,0.9663,0.8865,3,2.25,ANXMAT -0.25 SD; BELONG +1.75 SD; ICTHOME +0.25 SD
7,False,0.7247,0.5484,2,1.25,ANXMAT -0.50 SD; TEACHSUP +0.75 SD
10,False,0.5707,0.5707,0,0.0,(already below threshold)
12,False,0.6994,0.6527,2,0.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD
13,True,0.488,0.4241,1,0.25,ICTHOME +0.25 SD
15,False,0.7613,0.5922,2,1.007,ANXMAT -1.00 SD; ICTHOME +0.01 SD
16,False,0.6912,0.6912,0,0.0,(already below threshold)
19,False,0.9374,0.9374,0,0.0,(already below threshold)
20,False,0.5232,0.4571,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
21,False,0.872,0.7693,3,1.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +1.00 SD
22,False,0.8006,0.6014,3,1.25,ANXMAT -0.50 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
23,False,0.7687,0.5906,4,2.757,ANXMAT -1.00 SD; TEACHSUP +0.25 SD; BELONG +1.50 SD; ICTHOME +0.01 SD
25,True,0.5476,0.3539,1,0.5,ANXMAT -0.50 SD
26,False,0.7719,0.7231,1,0.75,TEACHSUP +0.75 SD
28,False,0.7341,0.4837,3,2.75,ANXMAT -1.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
30,False,0.9579,0.7585,3,3.007,ANXMAT -2.00 SD; BELONG +1.00 SD; ICTHOME +0.01 SD
33,False,0.8874,0.5716,3,1.75,ANXMAT -0.25 SD; BELONG +1.00 SD; ICTHOME +0.50 SD
34,False,0.5751,0.5664,1,0.007,ICTHOME +0.01 SD
35,True,0.9379,0.365,2,3.25,ANXMAT -1.50 SD; BELONG +1.75 SD
36,False,0.9728,0.9569,2,1.0,ANXMAT -0.75 SD; BELONG +0.25 SD
37,False,0.9001,0.7796,3,2.25,ANXMAT -1.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
40,False,0.9544,0.8653,4,1.007,ANXMAT -0.50 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
41,False,0.9724,0.911,4,1.922,ANXMAT -0.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD; ICTSCH +0.17 SD
43,False,0.7788,0.7196,2,1.0,ANXMAT -0.75 SD; BELONG +0.25 SD
44,True,0.533,0.4327,2,0.75,ANXMAT -0.50 SD; BELONG +0.25 SD
45,True,0.5268,0.4043,1,0.25,ANXMAT -0.25 SD
46,False,0.5807,0.5381,1,0.25,ANXMAT -0.25 SD
47,False,0.6468,0.6358,1,0.25,TEACHSUP +0.25 SD
48,True,0.6403,0.4278,2,2.0,ANXMAT -1.50 SD; BELONG +0.50 SD
50,False,0.8183,0.6169,4,2.257,ANXMAT -1.25 SD; TEACHSUP +0.25 SD; BELONG +0.75 SD; ICTHOME +0.01 SD
51,False,0.914,0.8496,3,0.507,ANXMAT -0.25 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
53,False,0.9172,0.761,2,1.25,TEACHSUP +0.25 SD; BELONG +1.00 SD
54,False,0.6434,0.5782,1,0.5,ANXMAT -0.50 SD
55,True,0.6091,0.4083,2,1.25,BELONG +0.25 SD; ICTSCH +1.00 SD
56,False,0.676,0.6556,1,0.25,ANXMAT -0.25 SD
57,False,0.9735,0.9735,0,0.0,(already below threshold)
58,False,0.9234,0.811,2,1.75,ANXMAT -0.50 SD; TEACHSUP +1.25 SD
60,False,0.7162,0.67,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
61,False,0.7806,0.6286,2,1.0,ANXMAT -0.50 SD; ICTHOME +0.50 SD
62,True,0.7449,0.4139,2,1.75,ANXMAT -1.50 SD; ICTHOME +0.25 SD
63,False,0.686,0.5869,3,1.408,TEACHSUP +0.75 SD; BELONG +0.50 SD; ICTSCH +0.16 SD
64,False,0.842,0.8159,2,0.75,TEACHSUP +0.50 SD; BELONG +0.25 SD
66,True,0.4536,0.4237,1,0.25,ANXMAT -0.25 SD
68,True,0.676,0.4015,3,1.25,ANXMAT -0.75 SD; TEACHSUP +0.25 SD; ICTHOME +0.25 SD
70,False,0.9033,0.8801,1,0.5,BELONG +0.50 SD
72,True,0.7809,0.4131,2,2.75,ANXMAT -2.00 SD; TEACHSUP +0.75 SD
75,False,0.9609,0.9213,3,1.571,TEACHSUP +0.75 SD; BELONG +0.25 SD; ICTSCH +0.57 SD
76,True,0.4767,0.2818,1,0.25,BELONG +0.25 SD
77,False,0.9422,0.9167,1,0.25,BELONG +0.25 SD
78,False,0.9771,0.9707,2,1.0,TEACHSUP +0.75 SD; BELONG +0.25 SD
80,False,0.6142,0.4753,2,1.25,ANXMAT -0.50 SD; BELONG +0.75 SD
81,True,0.7492,0.4213,1,1.0,ANXMAT -1.00 SD
82,False,0.5239,0.5112,1,0.25,ANXMAT -0.25 SD
83,False,0.8868,0.8554,2,0.5,TEACHSUP +0.25 SD; BELONG +0.25 SD
85,False,0.967,0.8488,3,2.25,ANXMAT -1.00 SD; TEACHSUP +1.00 SD; BELONG +0.25 SD
86,False,0.8191,0.5771,4,1.75,ANXMAT -0.75 SD; BELONG +0.25 SD; ICTHOME +0.50 SD; ICTSCH +0.25 SD
87,True,0.9466,0.4182,3,4.0,ANXMAT -2.25 SD; TEACHSUP +0.25 SD; BELONG +1.50 SD
88,True,0.4768,0.4296,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
89,False,0.7893,0.7639,1,1.102,TEACHSUP +1.10 SD
91,True,0.4632,0.3791,1,0.25,ANXMAT -0.25 SD
92,False,0.7926,0.53,3,1.289,BELONG +1.00 SD; ICTHOME +0.25 SD; ICTSCH +0.04 SD
93,False,0.6756,0.6606,1,0.25,TEACHSUP +0.25 SD
94,True,0.4629,0.3871,1,0.75,ICTSCH +0.75 SD
96,False,0.6676,0.4739,4,2.257,ANXMAT -0.50 SD; TEACHSUP +0.25 SD; BELONG +1.50 SD; ICTHOME +0.01 SD
97,False,0.8117,0.5957,3,1.507,ANXMAT -0.75 SD; BELONG +0.75 SD; ICTHOME +0.01 SD
98,True,0.6458,0.3458,2,2.0,ANXMAT -1.00 SD; TEACHSUP +1.00 SD
99,False,0.8827,0.6007,2,1.5,TEACHSUP +1.00 SD; BELONG +0.50 SD
102,False,0.7749,0.6103,2,1.25,ANXMAT -1.00 SD; BELONG +0.25 SD
103,False,0.8505,0.8145,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
104,False,0.9654,0.9395,3,1.0,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
105,False,0.9581,0.7794,5,3.203,ANXMAT -0.75 SD; TEACHSUP +0.25 SD; BELONG +1.00 SD; ICTHOME +0.25 SD; ICTSCH +0.95 SD
106,True,0.5061,0.4102,1,0.5,ANXMAT -0.50 SD
108,False,0.9911,0.9838,3,1.257,ANXMAT -0.50 SD; BELONG +0.75 SD; ICTHOME +0.01 SD
110,False,0.7498,0.7058,1,0.25,ANXMAT -0.25 SD
111,True,0.4608,0.4027,2,0.75,ANXMAT -0.50 SD; TEACHSUP +0.25 SD
112,False,0.8136,0.5242,2,2.25,ANXMAT -1.25 SD; TEACHSUP +1.00 SD
114,False,0.9522,0.9136,2,1.352,ANXMAT -0.25 SD; TEACHSUP +1.10 SD
115,False,0.768,0.734,2,1.0,TEACHSUP +0.75 SD; BELONG +0.25 SD
116,False,0.764,0.5793,3,1.757,ANXMAT -1.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
117,False,0.9961,0.9956,1,0.007,ICTHOME +0.01 SD
118,False,0.8285,0.5617,2,2.25,ANXMAT -1.75 SD; BELONG +0.50 SD
119,False,0.6541,0.5339,3,1.148,ANXMAT -0.50 SD; TEACHSUP +0.50 SD; ICTHOME +0.15 SD
120,False,0.6712,0.5148,2,1.0,BELONG +0.75 SD; ICTHOME +0.25 SD
121,False,0.7419,0.7075,1,0.5,TEACHSUP +0.50 SD
122,False,0.7743,0.5627,3,1.507,ANXMAT -1.25 SD; TEACHSUP +0.25 SD; ICTHOME +0.01 SD
124,False,0.9185,0.8462,3,1.5,ANXMAT -0.75 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
126,False,0.8987,0.7652,2,1.75,ANXMAT -1.00 SD; TEACHSUP +0.75 SD
127,False,0.5845,0.5698,2,0.257,ANXMAT -0.25 SD; ICTHOME +0.01 SD
129,False,0.882,0.8232,2,0.5,ANXMAT -0.25 SD; BELONG +0.25 SD
131,False,0.6845,0.6742,1,0.25,TEACHSUP +0.25 SD
135,False,0.9102,0.7946,3,2.757,ANXMAT -2.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
136,False,0.8567,0.5414,3,2.75,ANXMAT -0.25 SD; TEACHSUP +1.25 SD; BELONG +1.25 SD
138,False,0.6672,0.5211,2,1.007,ANXMAT -1.00 SD; ICTHOME +0.01 SD
140,False,0.8013,0.436,3,2.25,ANXMAT -1.25 SD; TEACHSUP +0.50 SD; ICTHOME +0.50 SD
141,False,0.8386,0.8248,1,0.75,ANXMAT -0.75 SD
143,False,0.965,0.9483,2,0.507,BELONG +0.50 SD; ICTHOME +0.01 SD
144,False,0.8282,0.8118,1,1.102,TEACHSUP +1.10 SD
145,False,0.9719,0.8085,5,4.257,ANXMAT -2.50 SD; TEACHSUP +1.00 SD; BELONG +0.50 SD; ICTHOME +0.01 SD; ICTSCH +0.25 SD
147,True,0.7483,0.433,2,1.25,ANXMAT -0.50 SD; BELONG +0.75 SD
148,False,0.6318,0.4499,3,1.52,ANXMAT -0.01 SD; BELONG +1.50 SD; ICTHOME +0.01 SD
149,False,0.9455,0.8968,2,1.063,ANXMAT -0.25 SD; ICTSCH +0.81 SD
150,False,0.8235,0.5244,1,2.25,ANXMAT -2.25 SD
151,False,0.6694,0.5354,3,2.0,ANXMAT -1.00 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
152,False,0.9163,0.4611,5,3.292,ANXMAT -0.04 SD; TEACHSUP +0.75 SD; BELONG +2.00 SD; ICTHOME +0.25 SD; ICTSCH +0.25 SD
153,False,0.8722,0.654,3,2.25,ANXMAT -1.25 SD; BELONG +0.75 SD; ICTSCH +0.25 SD
155,True,0.4787,0.4176,1,0.25,ANXMAT -0.25 SD
156,True,0.4496,0.4311,1,0.25,ANXMAT -0.25 SD
157,False,0.9015,0.9015,0,0.0,(already below threshold)
158,False,0.879,0.8018,3,1.5,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +0.75 SD
159,True,0.7093,0.4163,3,1.25,ANXMAT -0.75 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
161,False,0.8209,0.683,3,1.507,ANXMAT -0.50 SD; BELONG +1.00 SD; ICTHOME +0.01 SD
162,False,0.9873,0.9689,2,1.0,TEACHSUP +0.25 SD; BELONG +0.75 SD
163,False,0.9476,0.9324,3,0.757,TEACHSUP +0.25 SD; BELONG +0.50 SD; ICTHOME +0.01 SD
166,False,0.8826,0.742,2,2.608,TEACHSUP +1.86 SD; BELONG +0.75 SD
168,False,0.9759,0.9314,4,1.257,ANXMAT -0.75 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
169,False,0.8678,0.7723,3,1.75,ANXMAT -0.75 SD; TEACHSUP +0.75 SD; ICTHOME +0.25 SD
170,False,0.789,0.5569,2,2.507,ANXMAT -2.50 SD; ICTHOME +0.01 SD
171,False,0.9078,0.8629,3,1.5,ANXMAT -0.75 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
172,False,0.9352,0.8817,2,1.852,ANXMAT -0.75 SD; TEACHSUP +1.10 SD
173,False,0.8382,0.7934,2,0.257,ANXMAT -0.25 SD; ICTHOME +0.01 SD
174,False,0.9468,0.9423,1,0.5,ANXMAT -0.50 SD
175,False,0.61,0.5416,2,0.495,ANXMAT -0.25 SD; ICTHOME +0.24 SD
176,False,0.9253,0.7841,3,2.757,ANXMAT -1.75 SD; BELONG +1.00 SD; ICTHOME +0.01 SD
177,False,0.5436,0.4522,1,1.0,ANXMAT -1.00 SD
178,True,0.7041,0.4277,1,1.0,ANXMAT -1.00 SD
179,False,0.9602,0.9477,3,0.507,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; ICTHOME +0.01 SD
181,True,0.5393,0.3921,2,0.5,ANXMAT -0.25 SD; BELONG +0.25 SD
182,False,0.8625,0.8201,2,1.25,TEACHSUP +1.00 SD; BELONG +0.25 SD
183,True,0.8217,0.3868,3,3.5,ANXMAT -1.75 SD; TEACHSUP +1.25 SD; BELONG +0.50 SD
185,True,0.446,0.3727,1,0.25,ANXMAT -0.25 SD
186,False,0.7962,0.6356,2,1.25,TEACHSUP +0.25 SD; BELONG +1.00 SD
188,False,0.7374,0.4575,2,2.5,ANXMAT -2.25 SD; BELONG +0.25 SD
190,False,0.8902,0.7287,2,1.0,ANXMAT -0.25 SD; BELONG +0.75 SD
192,False,0.6498,0.4783,3,0.757,ANXMAT -0.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
193,False,0.8966,0.8686,3,0.794,TEACHSUP +0.50 SD; BELONG +0.25 SD; ICTSCH +0.04 SD
195,False,0.9766,0.9351,3,2.0,TEACHSUP +1.10 SD; BELONG +0.75 SD; ICTHOME +0.15 SD
196,False,0.5204,0.5204,0,0.0,(already below threshold)
198,False,0.8871,0.8626,2,1.0,TEACHSUP +0.50 SD; BELONG +0.50 SD
199,True,0.4589,0.4253,1,0.25,ANXMAT -0.25 SD
200,True,0.4965,0.414,1,0.25,ANXMAT -0.25 SD
202,False,0.6594,0.5949,1,0.75,BELONG +0.75 SD
203,False,0.5692,0.5535,2,0.507,ANXMAT -0.50 SD; ICTHOME +0.01 SD
204,False,0.8838,0.8564,3,1.25,ANXMAT -0.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
207,True,0.4478,0.3795,1,0.25,ANXMAT -0.25 SD
208,False,0.9578,0.8398,4,2.5,ANXMAT -1.00 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD; ICTSCH +0.50 SD
210,False,0.4722,0.4543,2,0.257,ANXMAT -0.25 SD; ICTHOME +0.01 SD
211,False,0.8116,0.6498,3,2.0,ANXMAT -1.25 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
212,False,0.531,0.5265,2,0.257,TEACHSUP +0.25 SD; ICTHOME +0.01 SD
213,False,0.7255,0.4961,2,1.0,ANXMAT -0.75 SD; BELONG +0.25 SD
214,False,0.9265,0.888,2,1.0,TEACHSUP +0.50 SD; BELONG +0.50 SD
215,False,0.9553,0.9108,2,0.908,ANXMAT -0.50 SD; ICTSCH +0.41 SD
216,False,0.9558,0.9438,2,1.0,ANXMAT -0.25 SD; TEACHSUP +0.75 SD
217,False,0.9554,0.9068,3,1.5,ANXMAT -0.75 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
218,False,0.7863,0.7564,2,0.5,TEACHSUP +0.25 SD; BELONG +0.25 SD
219,False,0.8101,0.5016,2,1.037,TEACHSUP +1.00 SD; ICTHOME +0.04 SD
220,False,0.7492,0.7021,3,1.25,TEACHSUP +0.50 SD; ICTHOME +0.50 SD; ICTSCH +0.25 SD
221,False,0.9458,0.5884,5,4.225,ANXMAT -0.16 SD; TEACHSUP +0.25 SD; BELONG +2.00 SD; ICTHOME +1.75 SD; ICTSCH +0.07 SD
222,True,0.5369,0.4137,2,1.25,TEACHSUP +0.25 SD; ICTHOME +1.00 SD
225,False,0.8798,0.7246,3,2.507,ANXMAT -2.00 SD; BELONG +0.50 SD; ICTHOME +0.01 SD
226,False,0.9809,0.978,2,0.257,TEACHSUP +0.25 SD; ICTHOME +0.01 SD
227,False,0.9084,0.8747,2,1.0,TEACHSUP +0.50 SD; BELONG +0.50 SD
228,True,0.4472,0.3739,1,0.25,ANXMAT -0.25 SD
229,False,0.9425,0.7376,2,1.5,ANXMAT -0.25 SD; BELONG +1.25 SD
231,False,0.8358,0.6927,2,1.25,ANXMAT -1.00 SD; TEACHSUP +0.25 SD
232,False,0.6808,0.4344,2,2.25,ANXMAT -0.50 SD; TEACHSUP +1.75 SD
234,False,0.9218,0.8442,2,1.25,ANXMAT -0.75 SD; BELONG +0.50 SD
238,False,0.7689,0.7089,2,0.5,TEACHSUP +0.25 SD; BELONG +0.25 SD
240,False,0.8781,0.5082,3,2.5,ANXMAT -1.75 SD; BELONG +0.50 SD; ICTSCH +0.25 SD
242,False,0.9201,0.8405,3,1.25,ANXMAT -0.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
244,False,0.8165,0.653,2,1.75,BELONG +0.25 SD; ICTSCH +1.50 SD
245,False,0.9305,0.8733,2,1.25,ANXMAT -0.50 SD; BELONG +0.75 SD
247,True,0.6005,0.4081,2,1.148,ANXMAT -1.00 SD; ICTHOME +0.15 SD
248,False,0.7265,0.6618,1,0.25,ANXMAT -0.25 SD
249,False,0.6212,0.5782,2,1.0,ANXMAT -0.50 SD; ICTSCH +0.50 SD
250,False,0.8668,0.7806,2,0.75,ANXMAT -0.25 SD; ICTSCH +0.50 SD
251,False,0.7401,0.4821,3,1.886,ANXMAT -0.25 SD; TEACHSUP +1.39 SD; BELONG +0.25 SD
253,False,0.8996,0.8699,3,1.5,BELONG +0.50 SD; ICTHOME +0.25 SD; ICTSCH +0.75 SD
255,False,0.7051,0.5997,3,2.0,ANXMAT -0.50 SD; ICTHOME +0.50 SD; ICTSCH +1.00 SD
256,True,0.8671,0.3728,2,2.75,ANXMAT -2.25 SD; TEACHSUP +0.50 SD
257,False,0.857,0.8103,2,1.25,TEACHSUP +0.75 SD; ICTSCH +0.50 SD
258,False,0.7256,0.7256,0,0.0,(already below threshold)
259,False,0.9017,0.8331,2,1.75,ANXMAT -0.75 SD; TEACHSUP +1.00 SD
260,False,0.5691,0.4696,2,0.507,BELONG +0.50 SD; ICTHOME +0.01 SD
261,False,0.8687,0.8651,2,0.5,TEACHSUP +0.25 SD; BELONG +0.25 SD
262,False,0.8472,0.5897,3,1.75,ANXMAT -0.75 SD; TEACHSUP +0.50 SD; BELONG +0.50 SD
264,False,0.5623,0.5591,1,0.25,ANXMAT -0.25 SD
268,False,0.8607,0.677,4,2.0,ANXMAT -0.50 SD; TEACHSUP +0.50 SD; BELONG +0.75 SD; ICTHOME +0.25 SD
269,False,0.878,0.7052,2,1.007,ANXMAT -1.00 SD; ICTHOME +0.01 SD
271,False,0.7709,0.5792,3,2.852,ANXMAT -1.25 SD; TEACHSUP +1.10 SD; BELONG +0.50 SD
272,True,0.4863,0.4305,1,0.25,ANXMAT -0.25 SD
273,False,0.8707,0.6317,3,2.5,ANXMAT -1.00 SD; BELONG +1.25 SD; ICTHOME +0.25 SD
274,True,0.4801,0.4011,1,1.0,ANXMAT -1.00 SD
275,False,0.8223,0.4711,3,3.757,ANXMAT -3.00 SD; BELONG +0.75 SD; ICTHOME +0.01 SD
278,False,0.9878,0.8641,3,3.58,TEACHSUP +2.32 SD; BELONG +1.25 SD; ICTHOME +0.01 SD
281,True,0.6288,0.387,1,0.25,ANXMAT -0.25 SD
282,False,0.8714,0.7736,3,1.757,ANXMAT -1.50 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
283,False,0.8638,0.6309,3,2.75,ANXMAT -1.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
284,False,0.9499,0.9493,1,0.007,ICTHOME +0.01 SD
