threshold,net_benefit_model,net_benefit_all,net_benefit_none,net_benefit_model_calibrated
0.01,0.7509637413463832,0.7509637413463832,0.0,0.7508084948859995
0.02,0.7482751535037652,0.7484225550335911,0.0,0.7482673085732074
0.03,0.7454972740989235,0.7458289731267209,0.0,0.7456737266663372
0.04,0.7427222796795825,0.7431813582634577,0.0,0.743026111803074
0.05,0.7399237854654984,0.740478004139915,0.0,0.7403227576795314
0.06,0.7356754041810308,0.7377171318435312,0.0,0.7375618853831475
0.07,0.7320769153125676,0.7348968859493756,0.0,0.734741639488992
0.08,0.7282153156445662,0.7320153303618688,0.0,0.7317044875933097
0.09,0.7248671631966624,0.729070443882329,0.0,0.7287688779647991
0.1,0.7220176306074717,0.7260601154810215,0.0,0.7257680325667659
0.11,0.7174472532440221,0.7229821392504712,0.0,0.722699752440687
0.12,0.7141088888858309,0.7198342090146811,0.0,0.7195617386753791
0.13,0.7100543850271934,0.7166139125665739,0.0,0.7162555750468396
0.14,0.7050744314665426,0.7133187255033946,0.0,0.7130659327999203
0.15,0.7015303953133969,0.7099460046269639,0.0,0.7097185529413577
0.16,0.6972717699513958,0.706492980872523,0.0,0.7061039036975103
0.17,0.6936413337884466,0.7029567517264088,0.0,0.7028666708986083
0.18,0.6887689911311875,0.699334273088926,0.0,0.6993218443896022
0.19,0.683986854932911,0.6956223505344683,0.0,0.6956894913001268
0.2,0.6791266906022714,0.6918176299161491,0.0,0.69208098724802
0.21,0.6745747760482594,0.6879165872568599,0.0,0.6882708248944673
0.22,0.6706797355881877,0.6839155178627171,0.0,0.6844259006759607
0.23,0.6671668701959175,0.6798105245882069,0.0,0.6804202541731158
0.24,0.6627321768109085,0.6755975051748939,0.0,0.676309195920196
0.25,0.6579397671651788,0.6712721385772258,0.0,0.6710237290198191
0.26,0.6530262939091536,0.6668298701796207,0.0,0.6664740076643241
0.27,0.6475934623882635,0.6622658957985197,0.0,0.66194849318644
0.28,0.6427728575286098,0.6575751443512768,0.0,0.6573401544206475
0.29,0.6372235021593619,0.6527522590604498,0.0,0.6512719483735001
0.3,0.631412183688184,0.6477915770470276,0.0,0.6461037544968844
0.31,0.6266968690227122,0.6426871071491584,0.0,0.6427381392807023
0.32,0.6200673541803775,0.6374325057837049,0.0,0.6383754141917057
0.33,0.6150938744625217,0.6320210506461482,0.0,0.634356424752056
0.34,0.6105646959976895,0.6264456120195747,0.0,0.6310365304299628
0.35,0.6041983455736036,0.6206986214352606,0.0,0.626276481430652
0.36,0.598369877884009,0.6147720373951864,0.0,0.6214970484907576
0.37,0.593006571470083,0.6086573078300307,0.0,0.6165658875210253
0.38,0.5890613862148615,0.6023453289240635,0.0,0.6114756568425919
0.39,0.5816835576520658,0.5958263998900317,0.0,0.6058183765240872
0.4,0.5757989174164277,0.5890901732215322,0.0,0.6004747515916035
0.41,0.5689907995911333,0.582125599886304,0.0,0.5950504262965863
0.42,0.5619208294954939,0.5749208688498609,0.0,0.5886681055676728
0.43,0.5549781989448475,0.5674633402331919,0.0,0.5834533220875256
0.44,0.5494453484785835,0.5597394713087845,0.0,0.5778615615270715
0.45,0.5408225237818559,0.5517347344234897,0.0,0.5727857208731747
0.46,0.5356115601792548,0.5434335258017025,0.0,0.5675645189342853
0.47,0.5285004812368583,0.5348190640243761,0.0,0.5622379243894862
0.48,0.5215957763873814,0.5258732767940757,0.0,0.5563408311349174
0.49,0.5135014871009892,0.5165766743782733,0.0,0.5511797082886153
0.5,0.5061347905897894,0.5069082078658387,0.0,0.5449015165416092
0.51,0.49800513677639524,0.4968451100671823,0.0,0.540618601113195
0.52,0.49123178900301206,0.48636271652691526,0.0,0.533957800995771
0.53,0.4838372679236388,0.4754342636870624,0.0,0.5267132416708311
0.54,0.4753928121673671,0.46403066072373766,0.0,0.5173766580670691
0.55,0.4682303629415049,0.4521202309620429,0.0,0.5099049387723649
0.56,0.46254376510855255,0.4396684180293621,0.0,0.5011351624596254
0.57,0.4534747310810736,0.42663745100678907,0.0,0.49198313956933204
0.58,0.44426171994077,0.4129859617450459,0.0,0.48445904442791965
0.59,0.4361066980954099,0.39866854617785213,0.0,0.47643230213977006
0.6,0.4285953496324255,0.3836352598322984,0.0,0.46844179578285994
0.61,0.4207422494526554,0.3678310357254342,0.0,0.45969152189152646
0.62,0.4129343656486313,0.35119501034978773,0.0,0.45092752322121626
0.63,0.40325326960069074,0.33365974035924145,0.0,0.44084920726468907
0.64,0.3964659569936184,0.3151502887025537,0.0,0.433912868554127
0.65,0.38611617327895786,0.29558315409405517,0.0,0.4207485611876306
0.66,0.37612997863505326,0.2748650115674098,0.0,0.40970210619089903
0.67,0.364990077165041,0.25289122403914943,0.0,0.3995265738902323
0.68,0.3559155023964285,0.22954407479037287,0.0,0.3883169738297283
0.69,0.347671885929044,0.20469065784812668,0.0,0.3776899838216154
0.7,0.3365823010801393,0.17818034644306435,0.0,0.36795673333523643
0.71,0.32396791830057636,0.14984173769972153,0.0,0.3547731945026428
0.72,0.3129402567858939,0.11947894261756908,0.0,0.34419734465029483
0.73,0.30068165520077816,0.08686705160340502,0.0,0.33091639014703284
0.74,0.2904092241623754,0.05174655358815139,0.0,0.3175493734113353
0.75,0.2791374033376508,0.013816415731677356,0.0,0.30371149284356613
0.76,0.27255782394403627,-0.027274566946169476,0.0,0.2916233969891713
0.77,0.259133634132941,-0.07193867855252467,0.0,0.2756522648174888
0.78,0.2519514851982907,-0.12066316394127585,0.0,0.2641686135827381
0.79,0.24043718178147552,-0.17402807650990815,0.0,0.24998956422492458
0.8,0.23143484248040438,-0.23272948033540353,0.0,0.23404891096260036
0.81,0.22376766892049704,-0.2976099793004249,0.0,0.21172918894469522
0.82,0.20763166949065848,-0.36969942259489297,0.0,0.20700754485892875
0.83,0.19115747020864515,-0.4502699768651809,0.0,0.20382642242788432
0.84,0.17700485667456548,-0.540911850419255,0.0,0.19166053268707062
0.85,0.16149374178050502,-0.643639307113871,0.0,0.17798570275402195
0.86,0.15003518447632627,-0.7610421147648617,0.0,0.16258165210090406
0.87,0.12883377967425846,-0.8965068928236973,0.0,0.1458033317083585
0.88,0.11462106956949861,-1.0545491338923392,0.0,0.11137494686799912
0.89,0.0996623058803788,-1.2413263278825517,0.0,0.09100216141064674
0.9,0.07908380822829114,-1.4654589606708073,0.0,0.066579931903898
0.91,0.0568922898088145,-1.7393988451897862,0.0,0.04245858684140677
0.92,0.04888116578735949,-2.0818237008385103,0.0,0.061800056499771355
0.93,0.03123859078141733,-2.5220842295297263,0.0,0.049773202853035006
0.94,0.03639353296900147,-3.1090982677846815,0.0,0.032098548936882174
0.95,0.012994204087585448,-3.9309179213416203,0.0,-0.008431865418522887
0.96,-0.0077089761330457335,-5.163647401677028,0.0,-0.010598148488605658
0.97,-0.019962878605893332,-7.218196535569349,0.0,-0.03404684949497701
0.98,-0.012603916686981229,-11.327294803354024,0.0,-0.009227148571590071
0.99,-0.006607549594307479,-23.654589606708043,0.0,-0.009610404036167053
